topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_84f30c9e,20.0,5.53,20.46,45.99,5.000,5.173,7.545,4.912,22.630,68.620,ok,
B,scenario_850870ec,20.0,5.79,20.65,46.43,4.900,2.394,6.667,4.921,18.882,65.312,ok,
B,scenario_8548fc84,20.0,4.93,3.0,27.93,9.950,8.085,8.204,5.873,32.112,60.042,ok,
B,scenario_8556213f,20.0,6.15,15.86,42.01,5.000,5.171,7.787,5.690,23.648,65.658,ok,
B,scenario_8618bba2,20.0,3.97,0.0,23.97,4.750,2.040,6.304,5.000,18.094,42.064,ok,
B,scenario_868609bd,20.0,8.27,19.77,48.04,4.900,1.776,7.182,5.000,18.858,66.898,ok,
B,scenario_87c18500,20.0,7.86,1.5,29.36,5.000,5.028,5.926,4.554,20.508,49.868,ok,
B,scenario_87d47478,0.0,5.5,0.0,5.5,4.742,5.310,7.063,4.929,22.044,27.544,ok,
B,scenario_880a576e,20.0,3.71,7.5,31.21,4.844,5.029,6.774,4.922,21.569,52.779,ok,
B,scenario_88872d5b,20.0,4.07,16.01,40.08,5.000,5.027,6.042,5.000,21.069,61.149,ok,
B,scenario_8901713c,20.0,6.9,16.7,43.61,10.000,5.257,6.728,5.521,27.506,71.116,ok,
B,scenario_89388f7a,20.0,5.58,0.0,25.58,4.844,4.985,6.279,5.000,21.108,46.688,ok,
B,scenario_89b39298,0.0,8.7,0.0,8.7,5.000,5.075,5.123,5.071,20.269,28.969,ok,
B,scenario_8ae9ce06,20.0,6.3,16.05,42.35,9.900,4.830,8.535,4.839,28.104,70.454,ok,
B,scenario_8b506b7a,20.0,6.8,15.06,41.86,7.500,4.738,6.548,5.000,23.786,65.646,ok,
B,scenario_8bada83a,20.0,6.24,15.54,41.78,5.000,5.036,5.968,5.000,21.004,62.784,ok,
B,scenario_8c7269ab,20.0,9.99,22.36,52.36,5.000,5.019,5.444,5.000,20.463,72.823,ok,
B,scenario_8c98c0cc,20.0,5.41,15.58,40.99,5.000,5.019,5.625,5.000,20.644,61.634,ok,
B,scenario_8cfd39fc,0.0,5.28,0.0,5.28,4.950,5.218,7.823,5.745,23.736,29.016,ok,
B,scenario_8db93a3f,20.0,9.34,0.0,29.34,5.000,5.036,6.429,5.000,21.465,50.805,ok,
B,scenario_8deaa9e1,20.0,6.78,22.65,49.43,4.897,5.117,6.125,5.862,22.001,71.431,ok,
B,scenario_8e059517,0.0,5.44,0.0,5.44,8.000,7.790,4.941,6.143,26.874,32.314,ok,
B,scenario_8ef5c393,20.0,6.23,17.01,43.23,7.500,4.212,7.333,5.385,24.430,67.660,ok,
B,scenario_8f0fb266,20.0,7.48,1.5,28.98,4.850,2.129,7.000,5.185,19.164,48.144,ok,
B,scenario_8f22ea78,20.0,6.47,0.0,26.47,8.571,4.961,6.304,4.914,24.750,51.220,ok,
B,scenario_8f5fa696,20.0,5.86,15.42,41.28,8.750,5.033,6.458,4.857,25.098,66.378,ok,
B,scenario_8fa19fa4,20.0,6.91,15.0,41.91,0.000,1.202,4.576,4.180,9.958,51.868,ok,
B,scenario_8fa5c7b5,20.0,5.68,0.0,25.68,4.900,2.108,6.714,5.185,18.907,44.587,ok,
B,scenario_90103bb1,20.0,5.35,21.13,46.48,5.000,5.016,6.212,5.000,21.228,67.708,ok,
B,scenario_90112f81,20.0,10.0,17.39,47.39,5.000,5.031,6.176,5.000,21.207,68.597,ok,
B,scenario_90e4d399,0.0,8.7,0.0,8.7,5.000,5.146,5.241,5.189,20.576,29.276,ok,
B,scenario_9111d3dd,20.0,7.5,18.83,46.33,5.000,5.000,5.250,5.185,20.435,66.765,ok,
B,scenario_9117e060,20.0,7.97,1.5,29.47,4.949,4.752,7.419,5.000,22.120,51.590,ok,
B,scenario_92aa7271,20.0,5.89,15.61,41.49,0.000,6.221,3.792,4.605,14.618,56.108,ok,
B,scenario_92b91deb,20.0,8.63,3.0,31.63,5.000,5.020,7.273,4.844,22.137,53.767,ok,
B,scenario_935c6411,20.0,6.35,16.49,42.84,7.500,5.009,7.143,5.000,24.652,67.492,ok,
B,scenario_936e00c6,20.0,7.19,1.5,28.69,5.000,5.070,6.229,4.250,20.549,49.239,ok,
B,scenario_93908611,0.0,6.34,0.0,6.34,10.000,5.230,7.208,4.322,26.760,33.100,ok,
B,scenario_941ed63d,20.0,5.45,4.5,29.95,0.000,4.094,3.473,4.804,12.371,42.321,ok,
B,scenario_946919b8,20.0,5.32,0.0,25.32,9.650,5.115,8.618,6.000,29.383,54.703,ok,
B,scenario_9566999b,0.0,7.08,0.0,7.08,0.000,5.099,3.725,5.256,14.080,21.160,ok,
B,scenario_96027a5f,20.0,6.95,9.0,35.95,5.625,5.241,6.196,4.844,21.906,57.856,ok,
B,scenario_9667df35,20.0,8.42,1.5,29.92,4.900,2.426,6.800,4.844,18.970,48.890,ok,
B,scenario_973d26b8,20.0,4.8,0.0,24.8,5.000,8.401,7.404,2.500,23.305,48.105,ok,
B,scenario_97848584,20.0,5.29,0.0,25.29,0.000,6.298,4.220,5.000,15.518,40.808,ok,
B,scenario_979769b6,20.0,5.37,20.47,45.85,10.000,8.227,6.932,3.367,28.526,74.376,ok,
B,scenario_991dc8ed,20.0,8.35,15.24,43.59,5.000,2.238,7.121,4.766,19.125,62.715,ok,
B,scenario_99681ac3,20.0,6.35,18.24,44.58,5.000,5.009,5.312,4.783,20.104,64.684,ok,
B,scenario_99738530,20.0,5.85,20.54,46.39,8.750,5.400,7.857,5.676,27.683,74.073,ok,
B,scenario_99801610,20.0,2.22,0.0,22.22,5.000,5.019,6.500,5.000,21.519,43.739,ok,
B,scenario_99c0ce8b,20.0,4.73,0.0,24.73,4.949,5.277,7.458,5.455,23.139,47.869,ok,
B,scenario_99d61b1f,20.0,5.57,0.0,25.57,9.850,2.459,8.108,4.722,25.139,50.709,ok,
B,scenario_99f1fbcb,20.0,5.7,9.0,34.7,5.000,4.893,5.465,5.385,20.743,55.443,ok,
B,scenario_9a43ce6f,20.0,6.05,0.0,26.05,5.000,5.027,6.875,4.655,21.557,47.607,ok,
B,scenario_9b372474,20.0,5.33,0.0,25.33,9.750,7.835,8.448,2.500,28.533,53.863,ok,
B,scenario_9da91d2e,0.0,5.3,0.0,5.3,5.000,5.043,5.769,4.554,20.366,25.666,ok,
B,scenario_9dd8351f,20.0,9.98,15.31,45.29,5.000,5.024,5.625,5.116,20.765,66.055,ok,
B,scenario_9e7e7417,0.0,6.45,0.0,6.45,5.000,5.339,6.261,5.769,22.369,28.819,ok,
B,scenario_9eb6b12f,20.0,9.94,15.91,45.84,5.000,5.029,6.078,5.000,21.107,66.947,ok,
B,scenario_9f47dd42,20.0,6.21,15.41,41.62,5.000,5.050,5.511,5.000,20.561,62.181,ok,
B,scenario_9fa7985a,20.0,5.08,0.0,25.08,5.000,5.172,7.179,5.128,22.479,47.559,ok,
B,scenario_9fbcd5ad,20.0,6.65,0.0,26.65,3.980,5.042,6.100,5.455,20.577,47.227,ok,
B,scenario_a03ee802,20.0,6.74,16.05,42.79,5.000,5.226,6.951,5.000,22.177,64.967,ok,
B,scenario_a058d790,20.0,6.38,21.27,47.64,7.500,4.772,6.875,5.000,24.147,71.787,ok,
B,scenario_a121258f,20.0,5.31,20.45,45.76,6.000,3.571,6.098,2.500,18.169,63.929,ok,
B,scenario_a16f5138,20.0,6.13,19.81,45.94,5.000,5.017,5.521,4.474,20.012,65.952,ok,
B,scenario_a1d4d074,0.0,5.0,0.0,5.0,4.950,5.471,7.397,5.000,22.818,27.818,ok,
B,scenario_a248c58c,20.0,7.0,15.24,42.23,8.333,5.000,7.000,5.385,25.718,67.948,ok,
B,scenario_a2fbaecf,20.0,5.47,0.0,25.47,4.796,5.367,7.566,5.625,23.354,48.824,ok,
B,scenario_a3fef3d8,20.0,9.65,0.0,29.65,5.000,4.755,7.667,5.179,22.601,52.251,ok,
B,scenario_a5158a54,20.0,8.0,15.44,43.44,5.000,5.008,5.066,5.000,20.074,63.514,ok,
B,scenario_a541739b,20.0,6.58,0.0,26.58,4.847,5.016,6.452,5.000,21.315,47.895,ok,
B,scenario_a54d5303,20.0,5.07,0.0,25.07,5.000,5.015,6.129,4.911,21.055,46.125,ok,
B,scenario_a5b22171,20.0,9.98,21.1,51.09,4.949,4.751,6.466,5.000,21.166,72.256,ok,
B,scenario_a5c543b3,20.0,6.89,9.0,35.89,5.000,5.010,5.267,5.000,20.277,56.167,ok,
B,scenario_a5d4da68,20.0,4.99,0.0,24.99,5.000,8.094,6.667,5.000,24.761,49.751,ok,
B,scenario_a5fe9718,20.0,6.88,0.0,26.88,8.571,5.000,6.071,5.000,24.642,51.522,ok,
B,scenario_a698ee7a,20.0,6.37,9.0,35.37,9.750,5.051,8.797,5.000,28.598,63.968,ok,
B,scenario_a6c91037,20.0,5.8,9.0,34.8,9.450,5.413,8.457,4.933,28.253,63.053,ok,
B,scenario_a705fbac,20.0,7.1,20.69,47.78,5.000,5.041,6.045,4.904,20.990,68.770,ok,
B,scenario_a748a2ce,0.0,6.35,0.0,6.35,5.000,5.043,6.522,5.000,21.565,27.915,ok,
B,scenario_a7f406ff,20.0,9.02,3.0,32.02,5.000,4.983,6.042,4.800,20.825,52.845,ok,
B,scenario_a995f879,20.0,6.47,19.43,45.9,6.667,5.075,6.471,5.125,23.338,69.238,ok,
B,scenario_a9b9dc94,20.0,6.28,15.04,41.31,5.000,5.025,5.460,5.000,20.485,61.795,ok,
B,scenario_a9eddd46,20.0,8.18,4.5,32.68,5.000,5.009,5.130,5.200,20.339,53.019,ok,
B,scenario_aab9ccaf,20.0,6.45,15.11,41.56,5.000,5.030,6.765,4.797,21.592,63.152,ok,
B,scenario_aaf55bf3,20.0,6.85,15.03,41.88,5.000,5.007,5.882,5.000,20.889,62.769,ok,
B,scenario_aaf841d3,0.0,5.21,0.0,5.21,4.898,3.456,6.250,5.641,20.245,25.455,ok,
B,scenario_abe91e1c,20.0,6.75,17.54,44.29,8.000,5.000,6.613,5.000,24.613,68.903,ok,
B,scenario_ac4861e3,20.0,6.48,0.0,26.48,5.000,5.029,6.327,5.455,21.811,48.291,ok,
B,scenario_accad5a8,20.0,6.72,21.92,48.64,5.000,4.840,5.737,4.932,20.509,69.149,ok,
B,scenario_add0c02b,20.0,6.69,17.88,44.57,5.000,5.062,5.064,4.722,19.848,64.418,ok,
B,scenario_add78464,20.0,7.6,17.63,45.22,5.000,5.046,5.811,5.000,20.857,66.077,ok,
B,scenario_ae096074,20.0,4.96,0.0,24.96,0.000,5.812,4.149,4.811,14.772,39.732,ok,
B,scenario_ae109c4b,20.0,6.93,15.93,42.86,4.900,2.204,7.100,5.357,19.561,62.421,ok,
B,scenario_ae52b2a1,20.0,6.55,21.32,47.87,5.000,5.095,5.707,5.200,21.002,68.872,ok,
B,scenario_ae673ff5,20.0,6.63,0.0,26.63,4.750,2.437,6.282,4.922,18.391,45.021,ok,
B,scenario_ae80b87f,20.0,5.61,16.09,41.7,4.900,2.344,7.500,5.185,19.929,61.629,ok,
B,scenario_ae985bd8,20.0,6.04,15.39,41.44,4.898,2.428,7.131,5.536,19.993,61.433,ok,
B,scenario_aec3a4f2,20.0,6.41,0.0,26.41,5.000,5.047,5.833,4.815,20.695,47.105,ok,
B,scenario_aeed2dd7,20.0,4.8,21.82,46.63,5.000,5.073,5.598,5.556,21.227,67.857,ok,
B,scenario_af0b9890,20.0,8.57,15.11,43.68,5.000,5.041,6.429,5.000,21.470,65.150,ok,
B,scenario_af212110,0.0,5.98,0.0,5.98,5.000,5.134,4.956,5.204,20.294,26.274,ok,
B,scenario_affff8cd,20.0,9.98,22.52,52.5,5.000,5.020,5.455,4.636,20.111,72.611,ok,
B,scenario_b059afaf,20.0,5.12,6.0,31.12,9.800,4.543,8.432,4.597,27.372,58.492,ok,
B,scenario_b08f6210,20.0,5.24,0.0,25.24,5.000,5.191,7.381,5.000,22.572,47.812,ok,
B,scenario_b0ac080d,20.0,6.08,1.5,27.58,4.485,5.044,5.429,5.116,20.074,47.654,ok,
B,scenario_b108cf06,20.0,6.3,20.58,46.88,7.500,3.745,6.837,5.405,23.487,70.367,ok,
B,scenario_b13d85ac,20.0,5.13,17.26,42.38,0.000,6.042,4.556,4.322,14.920,57.300,ok,
B,scenario_b1c8e9dd,20.0,7.4,9.0,36.4,5.000,5.000,5.132,5.000,20.132,56.532,ok,
B,scenario_b283ecf4,20.0,5.75,1.5,27.25,5.000,5.030,5.412,5.000,20.442,47.692,ok,
B,scenario_b394fd9e,20.0,6.66,1.5,28.16,5.000,5.025,5.937,5.000,20.962,49.122,ok,
B,scenario_b44eb2d2,20.0,7.5,0.0,27.5,5.000,5.093,6.795,5.366,22.254,49.754,ok,
B,scenario_b6684ade,0.0,6.42,0.0,6.42,7.500,5.016,6.000,5.000,23.516,29.936,ok,
B,scenario_b6b3dfb4,20.0,5.4,0.0,25.4,5.000,5.437,7.568,5.106,23.111,48.511,ok,
B,scenario_b6b5517d,20.0,6.94,0.0,26.94,5.000,5.014,6.579,5.000,21.593,48.533,ok,
B,scenario_b8382efc,20.0,6.82,20.62,47.43,5.000,5.059,6.009,4.636,20.704,68.134,ok,
