topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_3781dccd,20.0,5.6,20.14,45.74,6.222,3.586,5.402,3.273,18.483,64.223,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_38857d1d,20.0,6.47,0.0,26.47,5.0,5.036,5.379,4.97,20.385,46.855,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_39775251,0.0,5.08,0.0,5.08,3.333,3.333,3.106,3.312,13.084,18.164,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_39876172,20.0,4.98,0.0,24.98,4.333,4.296,3.7,3.333,15.662,40.642,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_39c5eeca,20.0,5.8,0.0,25.8,3.889,3.358,4.861,3.333,15.441,41.241,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3a785f02,20.0,6.91,19.17,46.08,5.0,3.462,4.481,3.079,16.022,62.102,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3aa60863,20.0,5.9,24.33,50.23,3.317,4.278,4.697,4.227,16.519,66.749,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3ac1ee00,20.0,8.83,21.06,49.89,3.333,3.344,3.838,3.333,13.848,63.738,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3b54a961,20.0,6.75,17.59,44.35,4.812,5.028,5.488,5.0,20.328,64.678,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3b64a9fd,20.0,5.78,15.51,41.29,3.265,2.153,4.476,2.763,12.657,53.947,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3b689bdd,20.0,7.05,16.58,43.63,6.684,4.928,5.254,5.0,21.866,65.496,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3c2db191,20.0,7.14,3.0,30.14,3.333,3.823,3.373,2.537,13.066,43.206,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3c3272de,20.0,5.8,0.0,25.8,7.0,5.039,5.331,4.973,22.343,48.143,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3d95e43c,0.0,8.8,0.0,8.8,5.0,5.034,5.186,5.142,20.362,29.162,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3e615b7d,20.0,5.73,0.0,25.73,5.833,5.025,5.556,5.0,21.414,47.144,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_3ee66805,20.0,7.48,0.0,27.48,5.583,3.323,4.764,3.29,16.96,44.44,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_41609149,20.0,4.89,0.0,24.89,3.317,3.872,5.593,4.197,16.979,41.869,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_41fb8274,20.0,6.63,3.0,29.63,3.333,3.956,3.259,3.405,13.953,43.583,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_420459fe,20.0,9.98,15.11,45.09,5.522,3.263,4.724,3.4,16.909,61.999,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_42bda014,20.0,5.15,0.0,25.15,5.767,5.252,5.846,3.333,20.198,45.348,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_431ffec5,20.0,9.84,17.65,47.5,5.0,3.318,3.634,3.197,15.149,62.649,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_435dc63e,20.0,5.35,15.29,40.64,5.8,2.647,5.375,3.717,17.539,58.179,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_45d90d2f,20.0,4.78,0.0,24.78,2.95,4.041,4.162,3.251,14.404,39.184,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
B,scenario_46e9f467,20.0,5.18,22.33,47.51,5.833,2.708,5.292,3.333,17.166,64.676,PPO:ok;DQN:ok;TD3:ok,PPO:-;DQN:-;TD3:-
