topic,scene,bv_safety_20,bv_comfort_10,bv_test_30,bv_total_60,av_safety_10,av_efficiency_10,av_comfort_5_and_traffic_coordination_5,av_compliance_10,av_total_40,total_100,av_status,av_error
B,scenario_90112f81,20.0,10.0,17.39,47.39,4.949,5.286,5.800,5.000,21.035,68.425,ok,
B,scenario_90e4d399,0.0,8.7,0.0,8.7,5.000,5.000,5.130,5.000,20.130,28.830,ok,
B,scenario_9111d3dd,20.0,7.5,18.83,46.33,5.000,5.000,5.000,5.000,20.000,66.330,ok,
B,scenario_9117e060,20.0,7.97,1.5,29.47,5.000,5.042,5.000,5.000,20.042,49.512,ok,
B,scenario_92aa7271,20.0,5.89,15.61,41.49,4.900,5.762,4.719,4.667,20.048,61.538,ok,
B,scenario_92b91deb,20.0,8.63,3.0,31.63,5.000,5.096,5.000,5.000,20.096,51.726,ok,
B,scenario_935c6411,20.0,6.35,16.49,42.84,5.000,5.000,6.757,4.868,21.625,64.465,ok,
B,scenario_936e00c6,20.0,7.19,1.5,28.69,5.000,5.000,5.161,5.000,20.161,48.851,ok,
B,scenario_93908611,0.0,6.34,0.0,6.34,5.000,5.180,5.125,5.100,20.405,26.745,ok,
B,scenario_941ed63d,20.0,5.45,4.5,29.95,5.000,6.050,8.150,7.550,26.750,56.700,ok,
B,scenario_946919b8,20.0,5.32,0.0,25.32,5.000,6.205,8.400,8.000,27.605,52.925,ok,
B,scenario_9566999b,0.0,7.08,0.0,7.08,10.000,0.520,8.953,6.351,25.824,32.904,ok,
B,scenario_96027a5f,20.0,6.95,9.0,35.95,9.444,0.228,7.326,2.414,19.412,55.362,ok,
B,scenario_9667df35,20.0,8.42,1.5,29.92,4.847,5.163,5.556,5.000,20.566,50.486,ok,
B,scenario_973d26b8,20.0,4.8,0.0,24.8,4.900,6.443,5.588,7.500,24.431,49.231,ok,
B,scenario_97848584,20.0,5.29,0.0,25.29,0.000,4.556,3.902,5.000,13.458,38.748,ok,
B,scenario_979769b6,20.0,5.37,20.47,45.85,10.000,1.708,7.200,5.000,23.908,69.758,ok,
B,scenario_991dc8ed,20.0,8.35,15.24,43.59,4.844,5.171,6.596,5.119,21.730,65.320,ok,
B,scenario_99681ac3,20.0,6.35,18.24,44.58,5.000,5.000,5.325,4.889,20.214,64.794,ok,
B,scenario_99738530,20.0,5.85,20.54,46.39,4.900,6.103,5.833,6.596,23.432,69.822,ok,
B,scenario_99801610,20.0,2.22,0.0,22.22,5.000,4.990,5.294,5.000,20.284,42.504,ok,
B,scenario_99c0ce8b,20.0,4.73,0.0,24.73,10.000,7.657,8.846,4.902,31.405,56.135,ok,
B,scenario_99d61b1f,20.0,5.57,0.0,25.57,4.900,6.461,4.918,5.500,21.779,47.349,ok,
B,scenario_99f1fbcb,20.0,5.7,9.0,34.7,5.000,4.888,4.879,5.000,19.767,54.467,ok,
B,scenario_9a43ce6f,20.0,6.05,0.0,26.05,4.900,6.181,6.800,5.400,23.281,49.331,ok,
B,scenario_9b372474,20.0,5.33,0.0,25.33,0.000,2.146,3.414,0.000,5.560,30.890,ok,
B,scenario_9da91d2e,0.0,5.3,0.0,5.3,4.900,6.763,6.000,4.800,22.463,27.763,ok,
B,scenario_9dd8351f,20.0,9.98,15.31,45.29,5.000,5.032,5.938,5.000,20.970,66.260,ok,
B,scenario_9e7e7417,0.0,6.45,0.0,6.45,10.000,0.870,9.805,5.000,25.675,32.125,ok,
B,scenario_9eb6b12f,20.0,9.94,15.91,45.84,5.000,5.129,5.227,5.000,20.356,66.196,ok,
B,scenario_9f47dd42,20.0,6.21,15.41,41.62,5.000,5.158,6.667,5.000,21.825,63.445,ok,
B,scenario_9fa7985a,20.0,5.08,0.0,25.08,5.000,5.156,6.833,5.000,21.989,47.069,ok,
B,scenario_9fbcd5ad,20.0,6.65,0.0,26.65,10.000,7.933,7.045,5.745,30.723,57.373,ok,
B,scenario_a03ee802,20.0,6.74,16.05,42.79,7.500,5.358,6.607,5.000,24.465,67.255,ok,
B,scenario_a058d790,20.0,6.38,21.27,47.64,4.794,5.138,7.273,5.000,22.205,69.845,ok,
B,scenario_a121258f,20.0,5.31,20.45,45.76,0.000,5.581,3.405,0.000,8.986,54.746,ok,
B,scenario_a16f5138,20.0,6.13,19.81,45.94,4.750,5.510,4.828,5.100,20.188,66.128,ok,
B,scenario_a1d4d074,0.0,5.0,0.0,5.0,0.000,3.187,3.960,4.028,11.175,16.175,ok,
B,scenario_a248c58c,20.0,7.0,15.24,42.23,5.000,4.986,5.735,4.934,20.655,62.885,ok,
B,scenario_a2fbaecf,20.0,5.47,0.0,25.47,4.950,8.280,7.586,5.000,25.816,51.286,ok,
B,scenario_a3fef3d8,20.0,9.65,0.0,29.65,6.667,5.093,5.000,5.000,21.760,51.410,ok,
B,scenario_a5158a54,20.0,8.0,15.44,43.44,5.000,4.974,5.197,5.000,20.171,63.611,ok,
B,scenario_a541739b,20.0,6.58,0.0,26.58,10.000,9.241,5.000,4.662,28.903,55.483,ok,
B,scenario_a54d5303,20.0,5.07,0.0,25.07,5.000,4.957,5.208,5.000,20.165,45.235,ok,
B,scenario_a5b22171,20.0,9.98,21.1,51.09,5.000,5.041,6.064,5.000,21.105,72.195,ok,
B,scenario_a5c543b3,20.0,6.89,9.0,35.89,5.000,5.000,5.473,5.000,20.473,56.363,ok,
B,scenario_a5d4da68,20.0,4.99,0.0,24.99,5.000,0.823,6.154,0.000,11.977,36.967,ok,
B,scenario_a5fe9718,20.0,6.88,0.0,26.88,7.500,5.221,6.667,5.000,24.388,51.268,ok,
B,scenario_a698ee7a,20.0,6.37,9.0,35.37,5.000,4.952,6.579,5.000,21.531,56.901,ok,
B,scenario_a6c91037,20.0,5.8,9.0,34.8,5.000,5.244,6.154,5.185,21.583,56.383,ok,
B,scenario_a705fbac,20.0,7.1,20.69,47.78,5.000,5.790,8.150,7.550,26.490,74.270,ok,
B,scenario_a748a2ce,0.0,6.35,0.0,6.35,4.900,7.099,5.500,4.328,21.827,28.177,ok,
B,scenario_a7f406ff,20.0,9.02,3.0,32.02,6.667,5.042,6.596,5.172,23.477,55.497,ok,
B,scenario_a995f879,20.0,6.47,19.43,45.9,5.000,5.130,7.794,5.000,22.924,68.824,ok,
B,scenario_a9b9dc94,20.0,6.28,15.04,41.31,5.000,5.193,5.432,5.000,20.625,61.935,ok,
B,scenario_a9eddd46,20.0,8.18,4.5,32.68,5.000,4.988,5.066,5.000,20.054,52.734,ok,
B,scenario_aab9ccaf,20.0,6.45,15.11,41.56,5.000,5.030,7.656,5.714,23.400,64.960,ok,
B,scenario_aaf55bf3,20.0,6.85,15.03,41.88,5.000,4.845,5.714,5.000,20.559,62.439,ok,
B,scenario_aaf841d3,0.0,5.21,0.0,5.21,5.000,2.515,5.793,5.119,18.427,23.637,ok,
B,scenario_abe91e1c,20.0,6.75,17.54,44.29,6.667,5.000,8.036,5.135,24.838,69.128,ok,
B,scenario_ac4861e3,20.0,6.48,0.0,26.48,10.000,0.360,5.937,6.250,22.547,49.027,ok,
B,scenario_accad5a8,20.0,6.72,21.92,48.64,5.000,4.869,5.122,5.000,19.991,68.631,ok,
B,scenario_add0c02b,20.0,6.69,17.88,44.57,5.000,5.042,5.135,4.904,20.081,64.651,ok,
B,scenario_add78464,20.0,7.6,17.63,45.22,5.000,5.100,6.212,5.000,21.312,66.532,ok,
B,scenario_ae096074,20.0,4.96,0.0,24.96,0.000,4.558,3.988,4.811,13.357,38.317,ok,
B,scenario_ae109c4b,20.0,6.93,15.93,42.86,4.800,6.743,4.824,4.933,21.300,64.160,ok,
B,scenario_ae52b2a1,20.0,6.55,21.32,47.87,9.850,5.016,8.214,5.000,28.080,75.950,ok,
B,scenario_ae673ff5,20.0,6.63,0.0,26.63,4.745,5.094,5.333,5.000,20.172,46.802,ok,
